track_id,playlist_id,artist,album,track_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
1Hohk6AufHZOrrhMXZppax,37i9dQZF1DXcBWIGoYBM5M,Beyoncé,RENAISSANCE,ALIEN SUPERSTAR,0.545,0.641,10,-6.398,0,0.0998,6.59e-05,0.171,0.464,121.892,215460,4,dance pop
4zN21mbAuaD0WqtmaTZZeP,37i9dQZF1DXcBWIGoYBM5M,James Hype,Ferrari,Ferrari,0.847,0.69,1,-7.877,0,0.0493,6e-05,0.0526,0.692,125.004,186662,4,deep groove house
50nfwKoDiSYg8zOCREWAm5,37i9dQZF1DXcBWIGoYBM5M,Ed Sheeran,=,Shivers,0.788,0.859,2,-2.724,1,0.0856,0,0.0424,0.822,141.02,207853,4,pop
3USxtqRwSYz57Ewm6wWRMp,37i9dQZF1DXcBWIGoYBM5M,Glass Animals,Dreamland,Heat Waves,0.761,0.525,11,-6.9,1,0.0944,6.7e-06,0.0921,0.531,80.87,238805,4,gauze pop
4pi1G1x8tl9VfdD9bL3maT,37i9dQZF1DXcBWIGoYBM5M,Latto,777,Big Energy,0.937,0.793,11,-4.431,0,0.115,0,0.341,0.794,106.022,172540,4,pop
58HvfVOeJY7lUuCqF0m3ly,37i9dQZF1DXcBWIGoYBM5M,Elley Duhé,MIDDLE OF THE NIGHT,MIDDLE OF THE NIGHT,0.41,0.611,4,-8.271,0,0.0467,0,0.116,0.0899,185.727,184448,3,alt z
3uUuGVFu1V7jTQL60S1r8z,37i9dQZF1DXcBWIGoYBM5M,Lost Frequencies,Where Are You Now,Where Are You Now,0.671,0.636,6,-8.117,0,0.103,0.000411,0.172,0.262,120.966,148197,4,belgian edm
7dSZ6zGTQx66c2GF91xCrb,37i9dQZF1DXcBWIGoYBM5M,KAROL G,PROVENZA,PROVENZA,0.87,0.516,1,-8.006,1,0.0541,0.00823,0.11,0.53,111.005,210200,4,latin
7fSM2taFBEB1WNZl8AOIoo,37i9dQZF1DX0XUsuxWHRQd,Lil Baby,Detox,Detox,0.845,0.503,1,-7.021,1,0.334,0,0.116,0.416,147.031,161637,4,atl hip hop
5uVW9FWVaQde0lfF4hYs4C,37i9dQZF1DX0XUsuxWHRQd,Offset,CODE (feat. Moneybagg Yo),CODE (feat. Moneybagg Yo),0.599,0.598,4,-7.015,0,0.124,5.01e-05,0.173,0.343,179.49,192428,4,atl hip hop
0JvnmNjMnTQMRizhrKzMSO,37i9dQZF1DX0XUsuxWHRQd,Gucci Mane,Look Ma I Did It,Look Ma I Did It,0.82,0.55,0,-7.611,1,0.172,0,0.11,0.391,128.027,207787,3,atl hip hop
3GdWfmQBiiJrDUvSZS1bGv,37i9dQZF1DX0XUsuxWHRQd,NAV,Never Sleep,Never Sleep (with Lil Baby feat. Travis Scott),0.819,0.651,1,-5.829,1,0.169,0,0.122,0.501,139.957,185786,4,canadian hip hop
